algorithm,R2(1-1),R2(1-2),RMSE(1-1),RMSE(1-2),config
mlr,0.732,0.558,0.105,0.122,all_ex_som_1
mlr,0.611,0.631,0.118,0.12,all_ex_som_2
mlr,0.64,0.625,0.115,0.12,all_ex_som_3
mlr,0.593,0.627,0.124,0.117,all_ex_som_4
mlr,0.576,0.61,0.121,0.125,all_ex_som_5
rf,0.703,0.698,0.111,0.1,all_ex_som_1
rf,0.753,0.689,0.099,0.105,all_ex_som_2
rf,0.728,0.742,0.098,0.101,all_ex_som_3
rf,0.748,0.748,0.099,0.095,all_ex_som_4
rf,0.752,0.767,0.096,0.094,all_ex_som_5
svr,0.717,0.704,0.11,0.097,all_ex_som_1
svr,0.748,0.743,0.089,0.105,all_ex_som_2
svr,0.759,0.715,0.097,0.1,all_ex_som_3
svr,0.717,0.777,0.102,0.092,all_ex_som_4
svr,0.756,0.723,0.098,0.099,all_ex_som_5
ann,0.697,0.709,0.107,0.103,all_ex_som_1
ann,0.708,0.674,0.103,0.112,all_ex_som_2
ann,0.748,0.752,0.097,0.097,all_ex_som_3
ann,0.753,0.738,0.098,0.097,all_ex_som_4
ann,0.718,0.777,0.1,0.094,all_ex_som_5
